Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: CONTENT_LENGTH=
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: CONTENT_TYPE=
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: REMOTE_IDENT=
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: REMOTE_USER=
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: UNIQUE_ID=1642526585335660346
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: REMOTE_PORT=42644
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: REQUEST_URI=/service.py
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_UPGRADE=websocket
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_ORIGIN=http://localhost:9393
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_SEC_WEBSOCKET_VERSION=13
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_ACCEPT_LANGUAGE=de-DE,de;q=0.9,en-US;q=0.8,en;q=0.7
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_CONNECTION=Upgrade
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_CACHE_CONTROL=no-cache
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_USER_AGENT=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36
